Z:\data\JTB-E02\BACandBLUE\,JTB-E02-189-23.D,,,,JTB-E02-189-05.D,JTB-E02-189-018.D,JTB-E02-189-19.D,JTB-E02-189-20.D,JTB-E02-189-21.D,JTB-E02-189-22.D,JTB-E02-189-24.D
7,3.0139,DMS $$ DIMETHYL SULFIDE $$ METHYL SULFIDE,0.0444,70,,3.017,,3.019,3.013,3.017,3.123
8,3.1255,2-Propanone (CAS) $$ Acetone $$ propan-2-one $$ Propanone $$ Methyl ketone $$ Dimethyl ketone $$ Pyroacetic ether $$ .beta.-Ketopropane $$ Dimethylformaldehyde $$ ACETONE (2-PROPANONE) $$ (CH3)2CO $$ Allylic alcohol $$ Dimethylketal $$ Ketone propane $$ K,0.4705,72,3.127,3.126,,3.125,3.121,3.13,3.208
9,3.211,"Acetic acid, methyl ester (CAS) $$ Methyl acetate $$ Devoton $$ Tereton $$ Acetic acid methyl ester $$ Methyl ester of acetic acid $$ methyl  acetate $$ CH3COOCH3 $$ Methyl ethanoate $$ Acetate de methyle $$ Methyl acetic ester $$ Methylacetaat $$ Methyla",1.2651,86,,3.211,,3.211,3.206,3.215,3.323
,,,,,,,3.314,,,,
10,3.3263,"N-ethyl-1,3-dithioisoindoline $$ 1H-Isoindole-1,3(2H)-dithione, 2-ethyl-",1.2901,83,3.328,3.327,,3.327,3.321,3.331,3.448
11,3.45,"Cyclotrisiloxane, hexamethyl- (CAS) $$ 1,1,3,3,5,5-HEXAMETHYL-CYCLOHEXASILOXANE $$ Hexamethylcyclotrisiloxane $$ HEXAMETHYL-CYCLOTRISILOXANE $$ Dimethylsiloxane cyclic trimer",0.065,64,,,,3.45,,,3.485
12,3.4885,"N-ethyl-1,3-dithioisoindoline $$ 1H-Isoindole-1,3(2H)-dithione, 2-ethyl-",0.1747,83,,3.488,,3.488,3.483,3.492,3.552
13,3.5553,"1H-Indole, 5-methyl-2-phenyl- (CAS) $$ 5-Methyl-2-phenylindole $$ 2-Phenyl-5-methylindole $$ Indole, 5-methyl-2-phenyl-",0.1156,64,,3.555,3.542,3.556,3.551,3.561,3.696
,,,,,,,3.61,,,,
,,,,,,,3.687,,,,
14,3.6982,"Acetic acid, ethyl ester (CAS) $$ Acetic acid ethyl ester (CAS) $$ Ethyl acetate $$ Acetidin $$ Acetic ether $$ Acetoxyethane $$ Ethyl ethanoate $$ Ethyl acetic ester $$ Vinegar naphtha her $$ Vinegar naphtha $$ Ethyl ester of acetic acid $$ CH3COOC2H5 $$",11.9239,78,,3.698,,3.698,3.694,3.704,3.826
,,,,,,,3.738,,3.826,,
15,3.8292,"Acetic acid, ethyl ester (CAS) $$ Acetic acid ethyl ester (CAS) $$ Ethyl acetate $$ Acetidin $$ Acetic ether $$ Acetoxyethane $$ Ethyl ethanoate $$ Ethyl acetic ester $$ Vinegar naphtha her $$ Vinegar naphtha $$ Ethyl ester of acetic acid $$ CH3COOC2H5 $$",1.6126,64,3.707,3.829,,3.829,,3.835,3.942
16,3.9446,ETHYL ACETATE,1.0146,43,3.941,3.945,,3.945,3.941,3.951,4.264
17,4.0261,ETHYL ACETATE,0.8924,64,3.978,4.026,,4.028,4.022,4.034,4.383
,,,,,4.17,4.269,4.239,,,,
18,4.2667,Formic acid (CAS) $$ Bilorin $$ Myrmicyl $$ Formisoton $$ Aminic acid $$ Collo-Didax $$ Formylic acid $$ Methanoic acid $$ Collo-Bueglatt $$ Hydrogen carboxylic acid $$ Formira $$ Add-F $$ HCOOH $$ Acide formique $$ Acido formico $$ Ameisensaeure $$ Formi,7.3903,38,4.253,,,4.267,4.263,4.275,4.564
19,4.3848,"Furfuryl alcohol, tetrahydro-5-methyl-, cis- (CAS) $$ 2-Furanmethanol, tetrahydro-5-methyl-, cis-",0.9497,35,,4.385,,4.386,4.381,4.392,4.659
20,4.5652,3-D-4-METHYL-2-PENTANOL,0.2343,47,,4.564,,4.567,4.562,4.575,4.822
21,4.6602,"Furan, 2-butyltetrahydro- (CAS) $$ Octane, 1,4-epoxy- $$ 2-Butyltetrahydrofuran $$ 2-N-BUTYLTETRAHYDROFURAN",0.9047,72,,4.66,,4.661,4.657,4.668,4.865
22,4.8221,"Acetic acid, ethyl ester (CAS) $$ Acetic acid ethyl ester (CAS) $$ Ethyl acetate $$ Acetidin $$ Acetic ether $$ Acetoxyethane $$ Ethyl ethanoate $$ Ethyl acetic ester $$ Vinegar naphtha her $$ Vinegar naphtha $$ Ethyl ester of acetic acid $$ CH3COOC2H5 $$",0.1594,58,,4.822,,4.823,4.819,4.832,4.982
23,4.8659,"2-Butenoic acid (CAS) $$ Crotonic acid $$ 3-Methylacrylic acid $$ .alpha.-Butenoic acid $$ CH3CH=CHCOOH $$ .alpha.-Crotonic acid $$ .beta.-Methylacrylic acid $$ Acrylic acid, 3-methyl- $$ Solid crotonic acid $$ Kyselina krotonova $$ UN 2823",0.2257,35,,4.867,,4.868,4.863,4.875,5.059
24,4.9833,"Cyclotetrasiloxane, octamethyl- (CAS) $$ 1,1,3,3,5,5,7,7-OCTAMETHYL-CYCLOOCTASILOXANE $$ OCTAMETHYL-(CYCLIC TETRAMER) CYCLOTETRASILOXANE $$ Octamethylcyclotetrasiloxane $$ NUC Silicone VS 7207 $$ Octamethyl-cyclotetrasiloxane $$ Oktamethylcyklotetrasiloxa",0.3474,91,4.985,4.983,4.978,4.986,4.978,4.992,5.184
25,5.0593,"Carbonic acid, dimethyl ester (CAS) $$ Methyl carbonate $$ Dimethyl ester of carbonic acid $$ Dimethyl carbonate $$ Methyl carbonate ((MeO)2CO) $$ Carbonic acid dimethyl ester $$ CH3OCOOCH3 $$ UN 1161",0.6024,86,,5.059,,5.061,5.054,5.068,5.225
26,5.1854,"1H-Pyrazole, 3-ethyl-4,5-dihydro- (CAS) $$ 3-Ethyl-.DELTA.[2]-pyrazoline",0.2983,49,,5.185,5.185,5.187,5.182,5.194,5.357
27,5.2262,"4,4-DIMETHYL-4-SILACYCLOPENTENE $$ 1,1-Dimethyl-1-silacyclo-3-pentene $$ Silacyclopent-3-ene,1,1-dimethyl-",0.421,53,5.258,5.226,,5.227,5.222,5.235,5.417
,,,,,,,5.248,,,,
28,5.3567,N-Nitroso-N-(2-methoxyethyl)alanine,0.0942,16,5.396,5.358,,5.36,5.353,5.367,5.475
29,5.4188,"Butanoic acid, 2-methyl-, methyl ester (CAS) $$ Methyl 2-methylbutyrate $$ Methyl ester of 2-methyl-butanoic acid $$ Methyl 2-methylbutanoate $$ Methyl .alpha.-methylbutyrate $$ Methyl .alpha.-methylbutanoate $$ 2-Methylbutanoic acid methyl ester $$ Butyr",0.135,62,,5.418,,5.42,5.415,5.428,5.592
30,5.4752,"Acetic acid, 2-methylpropyl ester (CAS) $$ Isobutyl acetate $$ 2-Methylpropyl acetate $$ Acetic acid isobutyl ester $$ Acetic acid, isobutyl ester $$ .beta.-Methylpropyl ethanoate $$ 2-Methyl-1-propyl acetate $$ Isobutyl acetate fcc $$ Acetate d'isobutyle",0.1872,43,,5.475,,5.477,5.473,5.486,5.717
31,5.5922,"Butanoic acid, 3-methyl-, methyl ester (CAS) $$ Methyl isovalerate $$ Methyl isopentanoate $$ Methyl iso-valerate $$ Methyl 3-methylbutyrate $$ Methyl 3-methylbutanoate $$ Isovaleric acid, methyl ester $$ ISOVALERIC ACID-METHYL ESTER $$ 3-Methylbutanoic a",0.6759,87,,5.592,,5.594,5.589,5.603,5.937
32,5.7199,"1,4,7,10,13-pentaoxacyclononadecane-14,19-dione",0.2296,35,5.714,5.717,,5.72,5.715,5.726,6.007
33,5.9375,"Butanoic acid, ethyl ester (CAS) $$ Ethyl butyrate $$ Butyric acid ethyl ester $$ Butyric ether $$ Ethyl butanoate $$ Ethyl n-butyrate $$ Butyric acid, ethyl ester $$ Ethyl ester of butanoic acid $$ Ethyl n-butanoate $$ n-Butyric acid ethyl ester $$ Butyr",0.0924,80,,5.938,,5.939,5.935,5.949,6.165
34,6.0089,2-METHYL-3-BUTEN-2-OL,0.3063,72,,6.007,,6.01,6.005,6.019,6.279
35,6.163,"Ethanol, 2-(2-methoxyethoxy)- (CAS) $$ Dowanol DM $$ 2-(2-Methoxyethoxy)ethanol $$ Diethylene glycol methyl ether $$ Methyl digol $$ Poly-Solv DM $$ Methyl Dioxitol $$ Methyl Carbitol $$ Diglycol monomethyl ether $$ Diethylene glycol monomethyl ether $$ E",0.4905,23,6.197,6.163,,6.166,6.161,6.175,6.396
36,6.2786,"Butanoic acid, 2-methyl-, ethyl ester (CAS) $$ Ethyl 2-methylbutyrate $$ Ethyl 2-methylbutanoate $$ Ethyl .alpha.-methylbutyrate $$ Butyric acid, 2-methyl-, ethyl ester $$ 2-Methylbutanoic acid ethyl ester",0.1844,60,,6.279,,6.281,6.278,6.29,6.474
,,,,,,,6.291,,,,
37,6.3419,"Butanoic acid, 4-methoxy- (CAS) $$ Butyric acid, 4-methoxy-",0.0567,25,6.305,,,,6.351,,6.537
38,6.3977,"2-Hydroxy-3-pentanone $$ 3-Pentanone, 2-hydroxy- (CAS)",0.0587,22,6.387,6.396,,6.408,6.4,,6.602
,,,,,,,,,,6.412,
39,6.4774,"N,N-Dimethyl-2-(1-(2-methoxybenzyl)-ethen-1-yl)-amine $$ Benzenemethanamine, 2-[1-[(2-methoxyphenyl)methyl]ethenyl]-N,N-dimethyl- (CAS)",0.0826,47,,6.473,,6.478,6.474,6.486,6.806
,,,,,,,,,,,
40,6.5394,7-exo-Methoxycarbonyl-7-endo-(dimethylaminomethyl)norcarane,0.0404,35,,,,6.54,,6.548,6.997
41,6.5993,"Butanoic acid, 3-methyl-, ethyl ester (CAS) $$ Ethyl isovalerate $$ ethyl isopentanoate $$ Ethyl 3-methylbutyrate $$ Ethyl 3-methylbutanoate $$ Isovaleric acid, ethyl ester $$ 3-Methylbutanoic acid ethyl ester $$ (CH3)2CHCH2C(O)OC2H5 $$ Ethyl iso-pentanoa",0.7129,93,,6.599,,,6.598,,7.121
,,,,,,,,6.602,,6.612,
42,6.8905,Hexanal (CAS) $$ n-Hexanal $$ Hexaldehyde $$ Caproaldehyde $$ Capronaldehyde $$ n-Caproaldehyde $$ Caproic aldehyde $$ Hexylaldehyde $$ n-Capronaldehyde $$ cyclohexanol $$ 1-hexanal $$ n-C5H11CHO $$ n-Hexaldehyde $$ n-Caproylaldehyde $$ Aldehyde C-6 $$ Ka,0.0543,38,,6.887,,6.894,6.883,6.905,7.199
43,7.0008,"2-Propenoic acid, 1,4-butanediyl ester (CAS) $$ Butylene diacrylate $$ 1,4-Butylene diacrylate $$ Tetramethylene acrylate $$ Tetramethylene diacrylate $$ 1,4-Butanediol diacrylate $$ 1,4-Butylene glycol diacrylate $$ Tetramethylene glycol diacrylate $$ Ac",0.0451,37,,6.999,,7.002,6.997,7.012,7.393
44,7.0987,"5-(hydroxymethyl)spiro[2.4]heptane-5-ol $$ Spiro[2.4]heptane-5-methanol, 5-hydroxy-",0.2038,50,,7.103,,7.107,7.102,7.123,7.507
45,7.2302,ISOBUTYL ALCOHOL,1.5244,90,,7.224,,7.226,7.223,7.226,7.616
46,7.3671,"Pulegone $$ Cyclohexanone, 5-methyl-2-(1-methylethylidene)-, (R)- (CAS) $$ (+)-Pulegone $$ (+)-(R)-Pulegone $$ (R)-(+)-Pulegone $$ p-Menth-4(8)-en-3-one, (R)-(+)- $$ d-Pulegone $$ Pulegon $$ PULEGONE (IMPURITY) $$ d-p-Menth-4(8)-en-3-one $$ p-Menth-4(8)-e",0.1342,64,,7.371,,7.374,7.369,7.392,7.728
47,7.486,2-Hexadecanol (CAS) $$ Hexadecanol-2,0.0299,43,,7.492,,7.491,7.485,7.504,7.837
48,7.5933,"Phenol, 2-nitro- (CAS) $$ o-Nitrophenol $$ 2-Nitrophenol $$ Phenol, o-nitro- $$ o-Hydroxynitrobenzene $$ 2-Hydroxynitrobenzene $$ o-Nitrofenol $$ UN 1663",3.8428,64,,7.597,,7.601,7.596,7.618,7.923
49,7.7634,"3-METHYL-2-METHYLAMINO-4-(3H)PYRIMIDINONE $$ 4(3H)-Pyrimidinone, 3-methyl-2-(methylamino)- (CAS)",0.1708,43,,7.757,,7.758,7.758,7.762,8.174
50,7.8325,METHYL TIGLATE,0.1048,47,,7.832,,7.835,7.831,7.847,8.366
51,7.9142,"1-Butanol, 3-methyl-, acetate (CAS) $$ Isoamyl acetate $$ 3-METHYL BUTYL ACETATE $$ ETHANOIC ACID, 3-METHYL BUTANOL ESTER $$ Pear oil $$ Banana oil $$ i-Amyl acetate $$ Isoamyl ethanoate $$ Isopentyl acetate $$ 3-Methylbutyl acetate $$ 3-Methyl-1-butyl ac",0.2996,87,,7.916,,7.919,7.914,7.931,8.539
52,8.1714,"3-Penten-2-one, 4-methyl- (CAS) $$ Mesityl oxide $$ 2-METHYLPENT-2-EN-4-ONE $$ Isopropylideneacetone $$ Methyl isobutenyl ketone $$ Acetone, isopropylidene- $$ Isobutenyl methyl ketone $$ 4-Methyl-3-penten-2-one $$ Methyl 2-methyl-1-propenyl ketone $$ Met",0.117,74,,8.172,,8.175,8.171,8.185,8.669
,,,,,,,8.827,,,,
53,8.3491,"Benzene, 1,4-dimethyl- (CAS) $$ p-Xylene $$ p-Xylol $$ 1,4-Xylene $$ p-Dimethylbenzene $$ 1,4-Dimethylbenzene $$ p-Methyltoluene $$ 4-Methyltoluene $$ 1,4-Dimethyl-benzene $$ 1,4-DIMETHYLBENZENE(P-XYLENE) $$ 1,4-DIMETHYLBENZENE (P-XYLENE) $$ para-Xylene $",0.0579,91,,8.353,,8.356,8.35,8.369,8.824
54,8.5542,1-Butanol (CAS) $$ n-Butanol $$ CCS 203 $$ n-Butyl alcohol $$ Hemostyp $$ n-Butan-1-ol $$ Butyl alcohol $$ Butanol $$ Butyl hydroxide $$ Methylolpropane $$ Propyl carbinol l $$ Propyl carbinol $$ 1-Butyl alcohol $$ Butanol (French $$ Propylcarbinol $$ 1-B,0.0459,72,,8.55,,8.553,8.551,8.559,8.946
55,8.6417,"Cyclohexene, 1,5,5-trimethyl-1-methylene- $$ 3-Methylene-1,5,5-trimethylcyclohexene $$ Cyclohexene, 1,5,5-trimethyl-3-methylene- $$ 1,5,5-Trimethyl-3-methylenecyclohexene",0.0348,90,,8.646,,8.657,8.647,,9.013
,,,,,,,,,,8.668,
56,8.8161,"Cyclopentasiloxane, decamethyl- (CAS) $$ Dimethylsiloxane pentamer $$ DECAMETHYL-CYCLOPENTASILOXANE $$ Decamethylcyclopentasiloxane $$ Dekamethylcyklopentasiloxan $$ Union Carbide 7158 Silicone Fluid $$ Dow Corning 345 $$ NUC Silicone VS 7158 $$ Dow Corni",0.0895,72,8.83,8.815,,8.819,8.815,8.833,9.143
57,8.9565,"Heptane, 2,5-dimethyl- (CAS) $$ 2,5-Dimethylheptane",0.0703,22,,8.952,,8.956,8.952,8.963,9.282
,,,,,,,8.994,,,,
58,9.0061,"2-Butenoic acid, ethyl ester, (E)- (CAS) $$ Ethyl (E)-crotonate $$ Ethyl trans-crotonate $$ Crotonic acid, ethyl ester, (E)- $$ trans-2-Butenoic acid ethyl ester $$ (E)-2-Butenoic acid ethyl ester $$ Ethyl crotonate $$ (E)-CH3CH=CHCOOC2H5 $$ Crotonic acid",0.1009,64,,9.009,,9.012,9.007,9.024,9.466
,,,,,,,9.057,,,,
59,9.1378,"2-Butenoic acid, 3-methyl-, methyl ester (CAS) $$ Methyl 3-methyl-2-butenoate $$ Methyl senecioate $$ Methyl 3-methylcrotonate $$ Methyl 3,3-dimethacrylate $$ Methyl 3,3-dimethylacrylate $$ Methyl .beta.-methylcrotonate $$ 3-Methylcrotonic acid methyl est",0.195,90,9.16,9.138,,9.142,9.139,9.154,9.55
60,9.2563,"2-Butenoic acid, 3-methyl-, methyl ester (CAS) $$ Methyl 3-methyl-2-butenoate $$ Methyl senecioate $$ Methyl 3-methylcrotonate $$ Methyl 3,3-dimethacrylate $$ Methyl 3,3-dimethylacrylate $$ Methyl .beta.-methylcrotonate $$ 3-Methylcrotonic acid methyl est",0.0486,38,9.209,9.264,,9.267,9.258,9.286,10.001
,,,,,9.319,,,,,,
61,9.4573,"5-Formyl-4-nonene $$ 2-Hexenal, 2-butyl-, (Z)-",0.4011,56,,9.455,,9.462,9.458,9.472,10.059
62,9.55,"1,4-DIMETHYLBENZENE $$ P-XYLENE",0.1346,52,,9.55,,9.553,9.551,9.564,10.362
63,9.983,LIMONENE,0.292,97,,9.985,,9.989,9.986,,10.736
,,,,,,,10.035,,,10.005,
64,10.0831,l-LIMONENE,0.1007,98,10.063,10.082,,10.079,10.075,10.081,10.843
,,,,,10.138,10.199,,,,,
,,,,,10.262,10.37,,,,,
,,,,,,10.469,,,,,
65,10.3697,ISOAMYLALCOHOL,13.4304,72,10.343,,,10.369,10.366,10.378,11.048
66,10.4721,5-ISOPRENYL-2-2METHYL-2VINYLTETRAHYDROFURAN $$ HERBOXIDE,0.8937,95,10.492,,,10.468,10.468,,11.123
67,10.7285,"Cyclooctane, ethenyl- (CAS) $$ Vinylcyclooctane",0.1346,45,,10.73,,10.733,10.73,10.744,11.379
68,10.837,"2-Butenoic acid, 3-methyl-, ethyl ester (CAS) $$ Ethyl senecioate $$ Ethyl dimethylacrylate $$ Ethyl 3-methylcrotonate $$ Ethyl 3-methyl-2-butenoate $$ Ethyl isopropylideneacetate $$ Ethyl .beta.,.beta.-dimethylacrylate $$ Crotonic acid, 3-methyl-, ethyl",0.162,87,,10.836,,10.843,10.838,10.853,11.547
69,11.0347,PHYTOL,0.0802,35,,11.036,,11.04,11.036,11.055,11.631
70,11.1108,".alpha.-terpinolene $$ Cyclohexene, 1-methyl-4-(1-methylethylidene)- (CAS) $$ 1,4(8)-P-MENTHADIENE $$ 1-METHYLENE-4-ISOPROPYLENECYCLOHEXANE $$ Terpinolene $$ .ALPHA.-TERPINOLEN $$ Terpinolen $$ p-Mentha-1,4(8)-diene $$ UN 2541 $$ 4-Isopropylidene-1-methyl",0.1753,45,,11.113,,11.116,11.112,11.131,12.17
,,,,,11.232,,,,,,
71,11.3676,HERBOXIDE SECOND ISOMER,3.745,96,,11.368,,11.372,11.369,11.385,12.441
72,11.5304,CIS-DIHYDROCARVONE,0.2484,90,,11.531,,11.537,11.533,11.552,12.579
73,11.5856,"Dihydrocarvone $$ Cyclohexanone, 2-methyl-5-(1-methylethenyl)-, trans- (CAS) $$ Carvone, dihydro- $$ trans-Dihydrocarvone $$ p-Menth-8-en-2-one, trans- $$ d-Dihydrocarvone $$ 4-[(1'-methyl)vinyl]-1-methylcyclohexan-2-one $$ p-Menth-8-en-2-one, E-",0.053,70,,,,,,,12.997
74,11.6339,1-Pentanol (CAS) $$ Amylol $$ n-Pentanol $$ Amyl alcohol $$ n-Pentan-1-ol $$ Pentanol $$ n-Amyl alcohol $$ Pentyl alcohol $$ n-Butyl carbinol $$ n-Pentyl alcohol $$ 1-Pentyl alcoholther $$ n-Butylcarbinol $$ 1-Pentyl alcohol $$ n-C5H11OH $$ Pentan-1-ol $$,0.3026,72,,11.633,,11.638,11.634,11.644,13.262
75,12.1577,"Benzene, 1-methyl-4-(1-methylethyl)- (CAS) $$ p-Cymene $$ 1-Methyl-4-isopropylbenzene $$ p-Cymol $$ p-Cimene $$ Camphogen $$ Dolcymene $$ 2-p-Tolylpropane $$ p-Isopropyltoluene $$ p-Methylisopropylbenzene $$ 1-Isopropyl-4-methylbenzene $$ 4-Isopropyl-1-me",1.9651,97,12.219,12.158,,12.163,12.159,12.175,13.505
,,,,,12.301,,12.2,,,,
,,,,,,,12.237,,,,
76,12.4427,"Benzene, 1-methyl-4-(1-methylethyl)- (CAS) $$ p-Cymene $$ 1-Methyl-4-isopropylbenzene $$ p-Cymol $$ p-Cimene $$ Camphogen $$ Dolcymene $$ 2-p-Tolylpropane $$ p-Isopropyltoluene $$ p-Methylisopropylbenzene $$ 1-Isopropyl-4-methylbenzene $$ 4-Isopropyl-1-me",0.1849,89,,12.443,12.439,12.447,12.444,12.454,13.633
77,12.5716,terpinolene,0.2502,90,,12.571,,12.577,12.575,12.586,13.866
,,,,,12.779,,,,,,
78,12.9926,"1-Butanamine, 4-(methylthio)- (CAS) $$ 1-methylthio-4-amino-butane $$ 4-(Methylthio)butylamine",0.017,10,,12.997,,13.002,12.996,13.008,14.023
79,13.2647,"1,3-Dioxolane, 2-[1-(4-methyl-3-cyclohexen-1-yl)ethyl]- (CAS)",0.0358,38,13.229,13.253,,13.259,13.254,13.267,14.279
80,13.4947,"dl-Limonene $$ Cyclohexene, 1-methyl-4-(1-methylethenyl)- (CAS) $$ 1-P-MENTHA-1,8-DIENE $$ Limonene $Cinen $$ Nesol $$ Cinene $$ Limonen $$ Eulimen $$ Dipenten $$ Cajeputen $$ Kautschin $$ Cajeputene $$ .alpha.-Limonene $$ p-Mentha-1,8-diene $$ 4-Isoprope",0.0147,87,,13.495,,13.502,13.491,13.509,14.443
81,13.5369,"6,8-DIOXABICYCLO(3.2.1)OCTANE $$ 6,8-Dioxabicyclo[3.2.1]octane",0.007,27,,13.537,,13.544,,13.552,14.514
82,13.6315,"Cyclohexanone, 2,2,6-trimethyl- (CAS) $$ 2,6,6-Trimethylcyclohexanone $$ 2,2,6-Trimethylcyclohexanone $$ 1,1,3-Trimethyl-2-cyclohexanone $$ 2,2,6-Trimethylcyclohexan-1-one",0.0488,45,,13.633,,13.636,13.635,13.645,14.866
83,13.8593,"7,7-dimethylbicyclo[3.3.0]octan-2-one $$ 7,7-dimethyl-cis-bicyclo[3.3.0]octan-2-one $$ 1(2H)-Pentalenone, hexahydro-5,5-dimethyl-, cis-(.+-.)-",0.7806,83,13.969,13.859,,13.864,13.859,13.873,15.163
84,14.0242,"Cyclopentane, 1,1,2-trimethyl- (CAS) $$ 1,1,2-Trimethylcyclopentane $$ Camphocean",0.0208,43,,14.024,,14.032,14.022,14.034,15.407
85,14.1916,"Benzene, 1,3,5-trimethyl- (CAS) $$ 1,3,5-Trimethylbenzene $$ Mesitylene $$ sym-Trimethylbenzene $$ s-Trimethylbenzene $$ Fleet-X $$ Trimethylbenzol $$ TMB $$ Trimethyl benzene $$ UN 2325",0.0438,95,,14.197,,14.197,14.192,,15.536
86,14.2754,"9S-Sebiferine $$ Morphinan-7-one, 5,6,8,14-tetradehydro-2,3,6-trimethoxy-17-methyl- (CAS) $$ O-Methylflavinantine $$ Sebiferine $$ (9R)-Sebiferine $$ (+)-O-Methylflavinantine",0.1449,59,14.244,14.273,14.263,14.278,14.275,14.285,15.812
,,,,,,,14.36,,,,
87,14.445,"2-Pentanol, 4-methyl- (CAS) $$ 4-Methyl-2-pentanol $$ MIC $$ MAOH $$ MIBC $$ 3-MIC $$ 2-Methyl-4-pentanol $$ Isobutylmethylmethanol $$ Isobutylmethylcarbinol $$ Methylisobutyl carbinol $$ 4-Methyl-2-pentyl alcohol $$ 1,3-Dimethyl-1-butanol $$ 4-methyl 2-p",0.0473,59,,14.444,,14.449,14.443,14.454,16.051
88,14.5077,trans-chrysanthemal,0.0582,38,,14.505,,14.513,14.511,14.523,16.176
89,14.8656,HEXYL FORMATE,5.516,83,14.877,14.864,14.886,14.867,14.864,14.875,16.332
90,15.1665,"3-Hexen-1-ol (CAS) $$ 3-Hexen-1-ol (c,t)",0.1409,76,,15.165,15.118,15.169,15.167,15.173,16.508
91,15.5272,"Cyclopropane, 1-methyl-2-(1-methylethyl)-3-(1-methylethylidene)-, cis- (CAS) $$ 1-METHYL-CIS-2-ISOPROPYL-3-ISOPROPYLIDENECYCLOPROPANE $$ Propane, 2-(2-isopropylidene-3-methylcyclopropyl)-, cis-",0.7294,47,,15.528,16.536,15.532,15.529,15.542,16.791
92,15.8108,"3-Hexen-1-ol, (Z)- (CAS) $$ cis-3-Hexene-1-ol $$ Z-3-Hexenol $$ Leaf alcohol $$ 3-(Z)-Hexenol $$ cis-3-Hexenol $$ Blatteralkohol $$ cis-3-Hexen-1-ol $$ (Z)-Hex-3-en-1-ol $$ Blatteralkohol (German) $$ .beta.,.gamma.-Hexenol $$ HEXEN-30L-1 $$ 3-Hexen-1-ol $",0.4544,95,15.827,15.81,,15.814,15.812,15.821,17.08
,,,,,,,,,15.958,,
93,16.0479,"1,7-Octadiene, 2,7-dimethyl- (CAS) $$ 2,7-Dimethyl-1,7-octadiene",0.0319,25,16.061,16.047,,16.053,16.051,16.059,17.165
94,16.174,Toluene,0.0553,45,,16.173,,16.177,16.175,16.185,17.376
95,16.2373,"Butyric acid, 2-hydroxy-3-methyl-, methyl ester (CAS) $$ METHYL 2-HYDROXYISOVALERATE $$ Butanoic acid, 2-hydroxy-3-methyl-, methyl ester",0.0138,62,,16.327,,,,,17.451
96,16.329,"2-Cyclohexen-1-one, 3,5,5-trimethyl- (CAS) $$ 3,5,5-Trimethyl-2-cyclohexenone $$ 1,5,5-TRIMETHYLCYCLOHEXEN-3-ONE $$ Isophorone $$ Isoforon $$ Isophoron $$ Isoacetophorone $$ .alpha.-Isophoron $$ .alpha.-Isophorone $$ 3,5,5-trimethyl-2-cyclohexen-1-one $$",0.0607,87,,,,16.333,16.331,16.339,17.631
