[contents]
count=2
Name=,D:\Users\jbrown\Documents\GitHub\BACandBlue\data\BaCandBLUE_GC data_PreliminaryVOCs_Incubator_Blanks_Control\JTB-E18-023-08.D
1=,INT TIC: JTB-E18-023-08.D\data.ms
2=,PBM Apex
[INT TIC: JTB-E18-023-08.D\data.ms]
Time=,Wed Sep 11 11:31:19 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
42=, 42, 11.969, 1210,1217,1237,"VV 5",  78239,  3805204,  1.92,  0.250
43=, 43, 12.825, 1316,1322,1334,"PV 8",  35727,  1589545,  0.80,  0.104
44=, 44, 13.006, 1334,1344,1360,"VV 3", 261040, 12381571,  6.26,  0.812
45=, 45, 13.340, 1372,1385,1402,"VV 9",  83370,  6577796,  3.32,  0.432
46=, 46, 13.661, 1406,1425,1450,"VV 9", 105112,  9043129,  4.57,  0.593
47=, 47, 13.942, 1450,1459,1468,"VV 9",  66437,  3614241,  1.83,  0.237
48=, 48, 14.026, 1468,1470,1482,"VV 9",  42299,  1862633,  0.94,  0.122
49=, 49, 14.186, 1482,1489,1515,"VV  ",1064874, 37827859, 19.12,  2.482
50=, 50, 17.575, 1895,1907,1917,"VV  ",  66855,  3021103,  1.53,  0.198
51=, 51, 19.179, 2092,2104,2113,"VV  ",  46619,  2158553,  1.09,  0.142
52=, 52, 19.486, 2131,2142,2155,"VV 2", 481516, 13520215,  6.83,  0.887
53=, 53, 19.676, 2155,2165,2180,"PV 2", 140441,  5871191,  2.97,  0.385
54=, 54, 19.935, 2180,2197,2216,"VV 3", 201374, 16116858,  8.15,  1.057
55=, 55, 20.277, 2223,2239,2253,"VV 2", 139014,  6785935,  3.43,  0.445
56=, 56, 20.434, 2253,2259,2274,"VV 10",  36216,  1845634,  0.93,  0.121
57=, 57, 21.620, 2398,2405,2417,"VV 10",  47397,  1840452,  0.93,  0.121
58=, 58, 21.821, 2420,2429,2438,"VV 10",  37093,  1333202,  0.67,  0.087
59=, 59, 22.952, 2553,2569,2581,"PV 10",  39546,  2372299,  1.20,  0.156
60=, 60, 23.689, 2648,2659,2662,"PV 10",  19476,   720749,  0.36,  0.047
61=, 61, 23.795, 2662,2672,2707,"VV  ",3562541,135736406, 68.60,  8.905
62=, 62, 24.106, 2707,2711,2716,"VV 7",  44392,  1772482,  0.90,  0.116
63=, 63, 24.204, 2716,2723,2734,"VV 5",  58980,  2370130,  1.20,  0.155
64=, 64, 24.372, 2734,2743,2751,"VV 2", 287236,  7373233,  3.73,  0.484
65=, 65, 25.167, 2827,2841,2851,"PV 2",  33114,  1519526,  0.77,  0.100
66=, 66, 25.331, 2851,2861,2870,"VV 5",  36569,  1482175,  0.75,  0.097
67=, 67, 26.155, 2946,2963,2980,"BV 7",  33707,  1673856,  0.85,  0.110
68=, 68, 27.013, 3056,3069,3109,"PV  ",2237775, 89634548, 45.30,  5.880
69=, 69, 28.121, 3196,3205,3218,"VV 2", 141794,  4827015,  2.44,  0.317
70=, 70, 28.339, 3218,3232,3253,"PV  ", 585285, 36706965, 18.55,  2.408
71=, 71, 28.524, 3253,3255,3263,"VV 5",  50277,  1890805,  0.96,  0.124
72=, 72, 28.668, 3266,3272,3276,"VV 7",  50354,  1766251,  0.89,  0.116
73=, 73, 28.740, 3276,3281,3293,"VV 3", 171498,  5590623,  2.83,  0.367
74=, 74, 29.608, 3381,3388,3399,"VV 3",  71738,  2803163,  1.42,  0.184
75=, 75, 29.976, 3417,3433,3463,"PV 2", 261797, 19818157, 10.02,  1.300
76=, 76, 31.105, 3566,3572,3577,"PV 6",  29931,   834509,  0.42,  0.055
77=, 77, 31.220, 3577,3586,3600,"VV  ", 728520, 23720611, 11.99,  1.556
78=, 78, 31.706, 3639,3646,3656,"VV 6",  29761,  1126590,  0.57,  0.074
79=, 79, 31.916, 3656,3672,3695,"PV 7", 133666,  9717960,  4.91,  0.638
80=, 80, 32.633, 3752,3760,3769,"PV 4", 111343,  3328491,  1.68,  0.218
81=, 81, 33.125, 3813,3821,3829,"PV 6",  29779,  1006496,  0.51,  0.066
82=, 82, 33.965, 3893,3924,3927,"BV 9",  40391,  1473820,  0.74,  0.097
83=, 83, 34.001, 3927,3929,3936,"VV 8",  35070,  1005057,  0.51,  0.066
84=, 84, 34.517, 3977,3992,4007,"BV 4", 134284,  6616281,  3.34,  0.434
85=, 85, 34.668, 4007,4011,4013,"VV 5",   7933,   174921,  0.09,  0.011
86=, 86, 35.475, 4100,4110,4117,"PV 5",  25479,   919498,  0.46,  0.060
87=, 87, 36.030, 4172,4179,4187,"VV 5",  25396,  1217590,  0.62,  0.080
88=, 88, 36.278, 4199,4209,4219,"VV 2", 158831,  5131856,  2.59,  0.337
89=, 89, 37.035, 4296,4302,4312,"PV 3",  69737,  2325176,  1.18,  0.153
90=, 90, 37.314, 4327,4337,4353,"PBA4", 128915,  6072987,  3.07,  0.398
[PBM Apex]
Time=,Wed Sep 11 11:31:20 2019
Header=,"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
1=,  1,  2.2857, 2.1692,"Carbon dioxide",    81,"000124-38-9", 4
2=,  2,  2.3914, 0.2076,"L-Alanine, N-acetyl-", 14131,"000097-69-8",50
3=,  3,  2.4255, 0.1651,"n-Butylethylenediamine",  8411,"019522-69-1",64
4=,  4,  2.5010, 0.2257,"Phenethylamine, o-fluoro-.alpha.-methyl-", 27375,"001716-60-5",43
5=,  5,  2.6250, 0.0986,"1-Butanamine, N-methyl-",  1937,"000110-68-9",58
6=,  6,  2.6843, 0.1326,"l-Alanine, N-(1-oxopentyl)-, methyl ester", 54021,"042167-45-3",50
7=,  7,  2.8403, 0.5658,"Heptane, 4-methyl-",  7769,"000589-53-7",93
8=,  8,  3.0693, 6.7223,"Heptane, 2,4-dimethyl-", 12971,"002213-23-2",94
9=,  9,  3.2336, 0.0887,"6H-Pyrazolo[1,2-a][1,2,4,5]tetrazine, hexahydro-2,3-dimethyl-", 29674,"070517-50-9",43
10=, 10,  3.3151,12.9807,"Cyclotrisiloxane, hexamethyl-", 85992,"000541-05-9",90
11=, 11,  3.4234, 6.1746,"Octane, 4-methyl-", 12945,"002216-34-4",86
12=, 12,  3.6431, 2.7576,"2,4-Dimethylhept-1-ene", 11777,"1000411-46-2",93
13=, 13,  4.1594, 0.2996,"4-Quinolinecarboxylic acid, 2-chloro-", 71204,"005467-57-2",58
14=, 14,  4.2431, 0.6461,"Formaldehyde oxime trimer", 15730,"1000234-87-0",64
15=, 15,  4.4652, 0.0519,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",80
16=, 16,  4.9611, 9.9336,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",91
17=, 17,  5.1243, 0.9282,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",46
18=, 18,  5.1942, 0.8497,"4-Nitro-4'-chlorodiphenylsulfoxide",140506,"024535-53-3",60
19=, 19,  5.2496, 0.6047,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",49
20=, 20,  5.6530, 0.2557,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",46
21=, 21,  5.7433, 0.4521,"trans-4-(2-(5-Nitro-2-furyl)vinyl)-2-quinolinamine",140729,"000847-10-9",27
22=, 22,  5.7761, 0.2637,"2-(Acetoxymethyl)-3-(methoxycarbonyl)biphenylene",141906,"093103-70-9",27
23=, 23,  5.8411, 2.8237,"Decane, 3,6-dimethyl-", 40000,"017312-53-7",64
24=, 24,  5.9397, 1.7301,"Sulfurous acid, 2-ethylhexyl hexyl ester",137918,"1000309-20-2",50
25=, 25,  6.2140, 0.3484,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",58
26=, 26,  6.4876, 1.0954,"Cyclotetrasiloxane, octamethyl-",155952,"000556-67-2",64
27=, 27,  6.5460, 0.7080,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",62
28=, 28,  6.7443, 0.5860,"Morphinan, 7,8-didehydro-3-methoxy-17-methyl-6-methylene-, (-)-",141076,"001816-06-4",27
29=, 29,  6.8855, 2.2130,"Decane, 3,7-dimethyl-", 39995,"017312-54-8",87
30=, 30,  7.0411, 1.0536,"Decane, 3,6-dimethyl-", 40000,"017312-53-7",72
31=, 31,  7.2862, 0.3693,"Undecane, 4-methyl-", 39990,"002980-69-0",62
32=, 32,  7.3396, 0.1542,"Decane, 3-methyl-", 29369,"013151-34-3",43
33=, 33,  7.4103, 0.5990,"Ethanone, 1-cyclopentyl-",  6644,"006004-60-0",38
34=, 34,  7.5151, 0.4000,"Ethanone, 1-cyclopentyl-",  6644,"006004-60-0",38
35=, 35,  8.7795, 5.8102,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",94
36=, 36,  9.0330, 0.3693,"Cyclopentasiloxane, decamethyl-",220037,"000541-02-6",83
37=, 37,  9.1584, 0.1441,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",80
38=, 38, 10.5513, 0.0620,"2-Piperidinone, 1-methyl-",  7068,"000931-20-4",38
39=, 39, 11.3258, 0.8620,"Octadecane, 1-iodo-",226953,"000629-93-6",64
40=, 40, 11.5725, 0.2126,"Hentriacontane",252712,"000630-04-6",59
41=, 41, 11.7602, 0.3019,"Sulfurous acid, hexyl octyl ester",137913,"1000309-13-0",49
42=, 42, 11.9694, 0.2496,"Octane, 5-ethyl-2-methyl-", 29382,"062016-18-6",60
43=, 43, 12.8247, 0.1043,"Decane, 3,8-dimethyl-", 40001,"017312-55-9",22
44=, 44, 13.0056, 0.8123,"Octadecane, 1-iodo-",226953,"000629-93-6",53
45=, 45, 13.3403, 0.4315,"Eicosane, 1-iodo-",241993,"1000406-31-8",50
46=, 46, 13.6610, 0.5932,"Cyclopentane, (2-methylbutyl)-", 18472,"053366-38-4",38
47=, 47, 13.9416, 0.2371,"Cyclopentanecarboxamide, N-(4-fluorophenyl)-", 71420,"1000307-02-4",38
48=, 48, 14.0263, 0.1222,"N-Cbz-.beta.-alanine", 86345,"002304-94-1",25
49=, 49, 14.1859, 2.4816,"Selenolo[2,3-b]pyridine, 2,3-dibromo-",196413,"055108-60-6",47
50=, 50, 17.5751, 0.1982,"Hentriacontane",252712,"000630-04-6",52
51=, 51, 19.1793, 0.1416,"Eicosane",142238,"000112-95-8",38
52=, 52, 19.4857, 0.8870,"5-Methylsalicylic acid, 2TMS derivative",155018,"1000153-59-4",38
53=, 53, 19.6759, 0.3852,"2-Anthracenamine", 58743,"000613-13-8",38
54=, 54, 19.9346, 1.0573,"Benzaldehyde",  5152,"000100-52-7",93
55=, 55, 20.2774, 0.4452,"2,5-Dihydroxybenzaldehyde, 2TMS derivative",141387,"056114-69-3",59
56=, 56, 20.4337, 0.1211,"2,4-Dihydroxybenzaldehyde, 2TMS derivative",141386,"033617-38-8",43
57=, 57, 21.6203, 0.1207,"benzoic acid, 4-[2-[4-(2-benzoxazolyl)phenyl]ethenyl]-",198306,"1000402-46-8",18
58=, 58, 21.8209, 0.0875,"Benzazepin-1-one, 1,2,3,4-tetrahydro-N-methyl-6-bromo-7,8,9-trimethoxy-",199677,"112369-89-8",22
59=, 59, 22.9522, 0.1556,"Histidine, 1,N-dimethyl-4-nitro-", 91772,"1000129-55-1",47
60=, 60, 23.6888, 0.0473,"Acetophenone",  9540,"000098-86-2",43
61=, 61, 23.7953, 8.9046,"Silanediol, dimethyl-",  2426,"001066-42-8",49
62=, 62, 24.1055, 0.1163,"Silanediol, dimethyl-",  2426,"001066-42-8",49
63=, 63, 24.2042, 0.1555,"Silanediol, dimethyl-",  2426,"001066-42-8",47
64=, 64, 24.3720, 0.4837,"Terbutaline, N-trifluoroacetyl-O,O,o-tris(trimethylsilyl)deriv.",269911,"325836-92-8",52
65=, 65, 25.1671, 0.0997,"1-Propanamine, N1-methyl-2-methoxy",  4695,"1000198-01-0",27
66=, 66, 25.3311, 0.0972,"1,4-Benzodioxin", 15599,"000255-37-8",43
67=, 67, 26.1546, 0.1098,"Phenol, 4-(2-propenyl)-", 15646,"000501-92-8",46
68=, 68, 27.0134, 5.8802,"Oxime-, methoxy-phenyl-_", 25568,"1000222-86-6",78
69=, 69, 28.1213, 0.3167,"Benzaldehyde, 3,4-dimethyl-", 15662,"005973-71-7",83
70=, 70, 28.3387, 2.4081,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",78
71=, 71, 28.5243, 0.1240,"Tetrasiloxane, decamethyl-",168283,"000141-62-8",64
72=, 72, 28.6684, 0.1159,"Arsenous acid, tris(trimethylsilyl) ester",199618,"055429-29-3",35
73=, 73, 28.7397, 0.3668,"ethanone, 1-phenyl-2-(2-phenyl-4H-1-benzopyran-4-yl)-",184697,"1000402-36-9",25
74=, 74, 29.6077, 0.1839,"Benzene, 1,3,5-trimethyl-2-propyl-", 33501,"004810-04-2",64
75=, 75, 29.9764, 1.3001,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",59
76=, 76, 31.1052, 0.0547,"2-Methylaminomethyl-1,3-dioxolane",  8669,"057366-77-5",38
77=, 77, 31.2197, 1.5561,"Phenol, 2,6-bis(1,1-dimethylethyl)-4-(1-methylpropyl)-",123155,"017540-75-9",91
78=, 78, 31.7064, 0.0739,"4H-Pyrido[1,2-a]pyrimidine-3-carboxamide, 6,7,8,9-tetrahydro-6-methyl-4-oxo-", 71181,"033484-45-6",49
79=, 79, 31.9162, 0.6375,"Cyclopentasiloxane, decamethyl-",220036,"000541-02-6",35
80=, 80, 32.6331, 0.2184,"5-Methylsalicylic acid, 2TMS derivative",155018,"1000153-59-4",27
81=, 81, 33.1249, 0.0660,"Acetic acid, phenyl ester", 16694,"000122-79-2",38
82=, 82, 33.9651, 0.0967,"Benzophenone", 49665,"000119-61-9",46
83=, 83, 34.0006, 0.0659,"Benzophenone", 49665,"000119-61-9",43
84=, 84, 34.5169, 0.4340,"Tris(tert-butyldimethylsilyloxy)arsane",260810,"1000366-57-5",38
85=, 85, 34.6679, 0.0115,"2-Ethylacridine", 71643,"055751-83-2",46
86=, 86, 35.4748, 0.0603,"acetic acid, 2-[4-[[(dimethylamino)thioxomethyl]amino]phenyl]hydrazide",112819,"1000401-40-7",41
87=, 87, 36.0301, 0.0799,"15-Crown-5", 82722,"033100-27-5",27
88=, 88, 36.2785, 0.3367,"2,4-Dihydroxybenzoic acid, 3TMS derivative",220203,"010586-16-0",45
89=, 89, 37.0349, 0.1525,"Benzoic acid, 4-ethoxy-, ethyl ester", 59281,"023676-09-7",89
90=, 90, 37.3138, 0.3984,"Heptasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13-tetradecamethyl-",266854,"019095-23-9",41
