[contents]
count=2
Name=,C:\MassHunter\GCMS\1\data\JTB-E02\BACandSTRAW\JTB-E02-208-22.D
1=,INT TIC: JTB-E02-208-22.D\data.ms
2=,PBM Apex
[INT TIC: JTB-E02-208-22.D\data.ms]
Time=,Thu May 09 15:57:11 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
37=, 37,  7.7307, 0.0230,"Butanoic acid, ethyl ester",  8296,"000105-54-4",41
38=, 38,  7.7881, 0.0850,"2-Butenoic acid, methyl ester, (E)-",  3809,"000623-43-8",53
39=, 39,  7.9402, 0.0524,"Hexanamide",  7931,"000628-02-4",50
40=, 40,  8.1995, 0.8075,"1-Butanol, 3-methyl-, acetate", 13786,"000123-92-2",86
41=, 41,  8.4229, 0.0423,"1-Butanol, 2,2-dimethyl-",  4543,"001185-33-7",43
42=, 42,  8.5417, 0.0423,"Ethanedial, dioxime",  1967,"000557-30-2",38
43=, 43,  8.7817, 0.0758,"Pentanoic acid, 4-methyl-, methyl ester", 13856,"002412-80-8",81
44=, 44,  8.9246, 0.0319,"Oxirane, (1-methylbutyl)-",  7695,"053229-39-3",43
45=, 45,  9.0415, 0.3917,"Cyclopentasiloxane, decamethyl-",220036,"000541-02-6",91
46=, 46,  9.1120, 0.1072,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",91
47=, 47,  9.2210, 0.1408,"Butanoic acid, 2-methylpropyl ester", 21520,"000539-90-2",38
48=, 48,  9.3351, 0.1281,"2-Butenoic acid, ethyl ester, (Z)-",  7413,"006776-19-8",53
49=, 49,  9.5446, 0.1144,"2-Butenoic acid, 1-methylethyl ester", 12565,"018060-77-0",72
50=, 50,  9.7065, 0.0594,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",49
51=, 51, 10.0207, 4.3599,"Hexanoic acid, methyl ester", 13784,"000106-70-7",90
52=, 52, 10.1220, 0.6380,"Hexanoic acid, methyl ester", 13772,"000106-70-7",93
53=, 53, 10.2495, 0.5602,"Hexanoic acid, methyl ester", 13772,"000106-70-7",96
54=, 54, 10.6956, 0.1142,"Hexanoic acid, methyl ester", 13772,"000106-70-7",50
55=, 55, 10.7292, 0.1475,"Cyclopropane, 1,1-dimethyl-",   585,"001630-94-0",47
56=, 56, 10.9670, 0.0765,"Butanoic acid, butyl ester", 21448,"000109-21-7",46
57=, 57, 11.3133, 0.0203,"d-Glycero-d-galacto-heptose", 74731,"077770-51-5",43
58=, 58, 11.4296, 2.3654,"Hexanoic acid, ethyl ester", 21454,"000123-66-0",53
59=, 59, 11.5212, 0.2854,"Hexanoic acid, ethyl ester", 21450,"000123-66-0",46
60=, 60, 11.8398, 0.0822,"Cyclopropylmethanol acetate",  7359,"036982-54-4",46
61=, 61, 12.4339, 0.0779,"Butanoic acid, pentyl ester", 31291,"000540-18-1",72
62=, 62, 12.6425, 0.1916,"Acetic acid, hexyl ester", 21419,"000142-92-7",80
63=, 63, 12.8425, 0.0423,"Benzene, 1-ethyl-2-methyl-",  9608,"000611-14-3",59
64=, 64, 13.1856, 0.0437,"2-Hexenoic acid, methyl ester, (E)-", 12562,"013894-63-8",64
65=, 65, 14.0338, 0.0322,"3-Hexen-1-ol, acetate, (E)-", 20188,"003681-82-1",58
66=, 66, 14.2252, 0.0324,"Maleamic acid",  7841,"000557-24-4",43
67=, 67, 14.4999, 0.0962,"10-[(4-Methyl phenyl)sulfanyl]-14-azatetracyclo[7.6.1.0{2,7}.0{13,16}]hexadeca-1(15),2(7),3,5,9(16),10,12-heptaen-8-one",198309,"1000411-01-1",59
68=, 68, 14.5725, 0.0702,"Silane, diethyl(cis-4-methylcyclohexyloxy)undecyloxy-",220921,"1000363-55-6",38
69=, 69, 16.4460, 0.0197,"N.omega.-Nitro-L-arginine", 82537,"002149-70-4",43
70=, 70, 17.5168, 0.0642,"Benzene, 1,3-bis(1,1-dimethylethyl)-", 56147,"001014-60-4",83
71=, 71, 19.5743, 0.0214,"N(Epsilon)-methyl-l-lysine", 32272,"001188-07-4",59
72=, 72, 19.8212, 0.0514,"2,6-Dihydroxyacetophenone, 2TMS derivative",155019,"1000352-81-3",35
73=, 73, 20.0679, 0.3054,"1-Anthracenamine", 58740,"000610-49-1",43
74=, 74, 20.3956, 0.0486,"Benzaldehyde",  5151,"000100-52-7",70
75=, 75, 20.6315, 0.1641,"Propenone, 1-(4-nitrophenyl)-3-phenylamino-",128245,"1000302-96-9",50
76=, 76, 20.7998, 0.0523,"2-Hydrazino-4,6-dimethylpyrimidine, 2TMS derivative, peak 2",141310,"1000332-01-7",59
77=, 77, 21.2737, 0.0470,"Linalool", 27451,"000078-70-6",64
78=, 78, 21.9703, 0.0458,"Dibenz[b,d]cycloheptane, 2,4,7-trimethoxy-11-acetamino-",198196,"1000126-71-9",43
79=, 79, 22.1707, 0.0487,"1-naphthalenol, 4-[2-(2-chloro-4-nitrophenyl)diazenyl]-2-methyl-",197932,"1000398-21-8",35
80=, 80, 22.5925, 0.0752,"3(2H)-Furanone, 4-methoxy-2,5-dimethyl-", 20014,"004077-47-8",68
81=, 81, 23.3809, 0.0183,"Benzoic acid, hydrazide", 16524,"000613-94-5",50
82=, 82, 23.4845, 0.0586,"Butyrolactone",  1668,"000096-48-0",53
83=, 83, 24.2844, 7.2729,"Silanediol, dimethyl-",  2426,"001066-42-8",49
84=, 84, 24.5356, 0.0728,"Silanediol, dimethyl-",  2426,"001066-42-8",52
85=, 85, 24.7159, 0.0604,"Pyrazolo[3,4-b]pyridin-3(2H)-one, 4-trifluoromethyl-2,6-diphenyl-",209415,"309740-17-8",47
86=, 86, 24.8304, 0.0214,"Methyl 2-(benzenesulfonamido)-2-(ethoxycarbonylamino)-3,3,3-trifluoropropionate",229160,"1000224-87-5",10
87=, 87, 26.3724, 0.0397,".alpha.-Muurolene", 68564,"031983-22-9",91
88=, 88, 26.4364, 0.0230,"Acetic acid, phenylmethyl ester", 25190,"000140-11-4",50
89=, 89, 26.6818, 0.0303,"Naphthalene", 12197,"000091-20-3",60
90=, 90, 27.4743, 2.3899,"Oxime-, methoxy-phenyl-_", 25568,"1000222-86-6",90
91=, 91, 28.7788, 0.7420,"1,2-Benzisothiazol-3-amine, TBDMS derivative",124363,"1000332-57-2",78
92=, 92, 29.1033, 0.0192,"4-(4-Hydroxyphenyl)-4-methyl-2-pentanone, TMS derivative",124699,"1000283-54-9",38
93=, 93, 30.3863, 0.3088,"Cyclotetrasiloxane, octamethyl-",155952,"000556-67-2",56
94=, 94, 30.6015, 0.0147,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",58
95=, 95, 31.6678, 0.0501,"2,6-Bis(1,1-dimethylethyl)-4-(1-oxopropyl)phenol",123063,"014035-34-8",86
96=, 96, 32.3046, 0.1651,"Cyclopentasiloxane, decamethyl-",220036,"000541-02-6",38
97=, 97, 32.4290, 0.0273,"N-Methyl-1-adamantaneacetamide", 71587,"031897-93-5",22
98=, 98, 32.9997, 0.0156,"Propanamide",   736,"000079-05-0",47
99=, 99, 33.6672, 0.0156,"Phenol",  2621,"000108-95-2",46
100=,100, 34.9027, 0.0929,"Silane, trimethyl-[[(17.alpha.)-19-norpregn-4-en-20-yn-17-yl]oxy]-",210759,"056771-62-1",30
101=,101, 35.5037, 0.0044,"N<2>,N<2>,N<2>,N<2>-Tetramethyl-4,6-bis(trifluoromethyl)-1,3,5,2.lambda.<5>-triazaphosphinine-2,2-diamine",181523,"1000298-24-7",40
