[contents]
count=2
Name=,Z:\data\JTB-E02\BACandBLUE\JTB-E02-206-16.D
1=,INT TIC: JTB-E02-206-16.D\data.ms
2=,PBM Apex
[INT TIC: JTB-E02-206-16.D\data.ms]
Time=,Thu Apr 04 11:43:46 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
34=, 34,  7.962,  711, 723, 737,"VV  ", 418709, 13651433,  1.17,  0.409
35=, 35,  8.566,  790, 798, 821,"VV  ",4419472,114626568,  9.81,  3.434
36=, 36,  8.807,  821, 827, 855,"VV  ", 721772, 28983636,  2.48,  0.868
37=, 37,  9.540,  912, 917, 935,"VV 7",  63125,  3266517,  0.28,  0.098
38=, 38, 10.361,  993,1019,1062,"BV  ",39347907,1168872724,100.00, 35.022
39=, 39, 10.728, 1062,1064,1091,"VV 10",  56211,  3745754,  0.32,  0.112
40=, 40, 11.512, 1154,1160,1172,"PV 3",  85413,  3520817,  0.30,  0.105
41=, 41, 11.719, 1179,1186,1192,"VV 5",  38201,  1304203,  0.11,  0.039
42=, 42, 12.028, 1217,1224,1230,"VV 2",  44489,  1406817,  0.12,  0.042
43=, 43, 12.454, 1263,1276,1284,"VV 8",  30133,  1076855,  0.09,  0.032
44=, 44, 12.584, 1284,1292,1301,"VV  ",  82144,  2633430,  0.23,  0.079
45=, 45, 13.796, 1431,1441,1456,"PV  ", 138095,  4745854,  0.41,  0.142
46=, 46, 14.002, 1456,1467,1486,"VV  ", 138275,  6243579,  0.53,  0.187
47=, 47, 14.239, 1486,1496,1520,"VV 3",  91730,  6424299,  0.55,  0.192
48=, 48, 14.851, 1555,1571,1581,"PV 4",  61951,  1851623,  0.16,  0.055
49=, 49, 15.562, 1651,1659,1667,"PV 2", 141955,  4181400,  0.36,  0.125
50=, 50, 15.810, 1682,1689,1697,"VV 4",  27456,   802968,  0.07,  0.024
51=, 51, 15.997, 1706,1712,1726,"VV 2",  38617,  1826197,  0.16,  0.055
52=, 52, 16.396, 1751,1761,1772,"PV 2",  54752,  1769690,  0.15,  0.053
53=, 53, 17.689, 1910,1921,1936,"BV  ", 192053,  6587148,  0.56,  0.197
54=, 54, 18.984, 2071,2080,2088,"PV  ",  31979,  1295549,  0.11,  0.039
55=, 55, 19.134, 2092,2099,2101,"VV 5",  53533,  1767411,  0.15,  0.053
56=, 56, 19.199, 2101,2107,2116,"VV 10",  56913,  2921394,  0.25,  0.088
57=, 57, 19.539, 2141,2148,2157,"VV 4",  70206,  2386298,  0.20,  0.071
58=, 58, 19.691, 2157,2167,2180,"VV  ", 135399,  5817265,  0.50,  0.174
59=, 59, 19.949, 2187,2199,2225,"VV 2",1486127,121025594, 10.35,  3.626
60=, 60, 20.174, 2225,2227,2236,"VV 5", 133358,  6077273,  0.52,  0.182
61=, 61, 20.306, 2236,2243,2255,"VV 4", 156714,  8230791,  0.70,  0.247
62=, 62, 20.481, 2255,2264,2274,"VV 7",  52571,  2798082,  0.24,  0.084
63=, 63, 21.183, 2342,2351,2373,"VV 3", 324430, 12309893,  1.05,  0.369
64=, 64, 21.878, 2427,2436,2440,"VV 9",  39488,  1542302,  0.13,  0.046
65=, 65, 22.354, 2480,2495,2515,"VV  ", 141406,  6257563,  0.54,  0.187
66=, 66, 22.710, 2527,2539,2553,"VV  ",  31028,  1477561,  0.13,  0.044
67=, 67, 22.959, 2553,2569,2583,"PV 4",  49681,  3069528,  0.26,  0.092
68=, 68, 23.685, 2641,2659,2667,"PV  ", 634110, 22166272,  1.90,  0.664
69=, 69, 23.816, 2667,2675,2700,"VV  ",2254663, 88470919,  7.57,  2.651
70=, 70, 24.063, 2700,2705,2714,"VV 2", 106467,  5110311,  0.44,  0.153
71=, 71, 24.179, 2714,2720,2735,"VV 10",  65282,  3922370,  0.34,  0.118
72=, 72, 24.431, 2744,2751,2758,"VV 6",  39294,  1120070,  0.10,  0.034
73=, 73, 27.033, 3057,3071,3108,"PV 3",4553808,144246780, 12.34,  4.322
74=, 74, 27.349, 3108,3110,3114,"VV 4",  14932,   228847,  0.02,  0.007
75=, 75, 28.458, 3229,3246,3256,"PV 4",  80223,  5041704,  0.43,  0.151
76=, 76, 29.758, 3397,3406,3416,"PV 4",  39816,  1498289,  0.13,  0.045
77=, 77, 29.919, 3416,3426,3434,"PV  ", 833486, 24116525,  2.06,  0.723
78=, 78, 30.034, 3434,3440,3448,"VV 9",  64330,  3553852,  0.30,  0.106
79=, 79, 30.825, 3530,3538,3551,"PV 3",  53510,  1658438,  0.14,  0.050
80=, 80, 31.059, 3551,3567,3569,"VV 2",  37357,  1283555,  0.11,  0.038
81=, 81, 31.127, 3569,3575,3582,"VV 3", 160652,  4966586,  0.42,  0.149
82=, 82, 31.239, 3582,3589,3598,"VV 4",  49634,  1824214,  0.16,  0.055
83=, 83, 32.379, 3714,3729,3752,"VV  ",2202123, 68239352,  5.84,  2.045
84=, 84, 33.140, 3813,3823,3837,"VV  ", 229599,  7251218,  0.62,  0.217
85=, 85, 34.574, 3990,3999,4014,"PV  ",  29186,  1500324,  0.13,  0.045
86=, 86, 34.996, 4023,4051,4061,"PV  ", 312442,  8375223,  0.72,  0.251
[PBM Apex]
Time=,Thu Apr 04 11:43:59 2019
Header=,"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
1=,  1,  2.2855, 1.3161,"Carbon dioxide",    81,"000124-38-9", 4
2=,  2,  2.4263, 0.1554,"Cyclobutanol",   671,"002919-23-5",59
3=,  3,  2.5015, 0.0738,"Butanoic acid, 3-amino-",  4631,"000541-48-0",59
4=,  4,  2.5700, 0.5852,"Methanethiol",   114,"000074-93-1",86
5=,  5,  2.6218, 1.2550,"Acetaldehyde",    72,"000075-07-0", 9
6=,  6,  2.8443, 0.3009,"Oxamide, N-(methylthio)carbonyl-", 33594,"1000151-70-0",53
7=,  7,  3.1207, 4.1080,"Acetone",   216,"000067-64-1",72
8=,  8,  3.3225, 3.8969,"Cyclotrisiloxane, hexamethyl-", 85992,"000541-05-9",90
9=,  9,  3.4837, 0.5762,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",72
10=, 10,  3.6466, 0.2180,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",53
11=, 11,  3.8285, 2.9902,"2-Butanone",   657,"000078-93-3",86
12=, 12,  3.9779, 1.2853,"Butanal, 2-methyl-",  1768,"000096-17-3",81
13=, 13,  4.0255, 2.4088,"Butanal, 3-methyl-",  1767,"000590-86-3",90
14=, 14,  4.2451, 5.7882,"Ethanol",    96,"000064-17-5",64
15=, 15,  4.8548, 0.2008,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",47
16=, 16,  4.9819, 1.4174,"Cyclotetrasiloxane, octamethyl-",155951,"000556-67-2",91
17=, 17,  5.1812, 0.1288,"Cyclotetrasiloxane, octamethyl-",155952,"000556-67-2",42
18=, 18,  5.2500, 0.1832,"Cyclotetrasiloxane, octamethyl-",155952,"000556-67-2",59
19=, 19,  5.3542, 0.3312,"Methyl Isobutyl Ketone",  3929,"000108-10-1",41
20=, 20,  5.6033, 0.1772,"Trichloromethane",  9159,"000067-66-3",64
21=, 21,  5.7058, 0.1956,"2-Butanol",   843,"000078-92-2",37
22=, 22,  5.9974, 0.4171,"Toluene",  2482,"000108-88-3",76
23=, 23,  6.4782, 0.2840,"1-Octadecanamine, N-methyl-",143110,"002439-55-6",43
24=, 24,  6.5503, 0.0463,"1-Octadecanamine, N-methyl-",143109,"002439-55-6",38
25=, 25,  6.6858,11.5139,"Disulfide, dimethyl",  2561,"000624-92-0",96
26=, 26,  6.9903, 0.1190,"Cyclopropanecarboxylic acid, 1-amino-",  4107,"022059-21-8",32
27=, 27,  7.0443, 0.3412,"Disulfide, dimethyl",  2561,"000624-92-0",95
28=, 28,  7.2495, 0.3061,"1-Propanol, 2-methyl-",   861,"000078-83-1",38
29=, 29,  7.9616, 0.3351,"Butanenitrile, 3-methyl-",  1311,"000625-28-5",40
30=, 30,  8.5661, 3.5020,"1-Butanol",   847,"000071-36-3",90
31=, 31,  8.8070, 0.6942,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",91
32=, 32, 10.3615,37.0917,"1-Butanol, 3-methyl-",  2148,"000123-51-3",86
33=, 33, 10.7285, 0.0869,"Cyclopropane, 1,1-dimethyl-",   585,"001630-94-0",64
34=, 34, 11.5117, 0.0960,"Thiazole",  1551,"000288-47-1",91
35=, 35, 12.5836, 0.0642,"2-Isopropoxyethylamine",  4678,"081731-43-3",53
36=, 36, 13.7961, 0.1474,"Pyrazine, 2,5-dimethyl-",  5415,"000123-32-0",72
37=, 37, 14.0020, 0.1811,"Pyrazine, 2,6-dimethyl-",  5417,"000108-50-9",56
38=, 38, 14.2385, 0.1825,"10-[(4-Methyl phenyl)sulfanyl]-14-azatetracyclo[7.6.1.0{2,7}.0{13,16}]hexadeca-1(15),2(7),3,5,9(16),10,12-heptaen-8-one",198309,"1000411-01-1",53
39=, 39, 14.8507, 0.0588,"Oxirane, (1-methylbutyl)-",  7698,"053229-39-3",59
40=, 40, 15.5622, 0.1217,"Dimethyl trisulfide", 11162,"003658-80-8",97
41=, 41, 16.3961, 0.0553,"Pyrazine, 2,5-dimethyl-3-(3-methylbutyl)-", 46058,"018433-98-2",72
42=, 42, 17.6893, 0.2021,"Pyrazine, 3-ethyl-2,5-dimethyl-", 16619,"013360-65-1",91
43=, 43, 19.5385, 0.0552,"Morphinan, 7,8-didehydro-3-methoxy-17-methyl-6-methylene-, (-)-",141076,"001816-06-4",43
44=, 44, 19.6914, 0.1541,"2-Mercapto-4-phenylthiazole", 58962,"002103-88-0",49
45=, 45, 19.9491, 3.7794,"Benzaldehyde",  5152,"000100-52-7",95
46=, 46, 20.1744, 0.1712,"Benzaldehyde",  5152,"000100-52-7",76
47=, 47, 20.3059, 0.2225,"Ethanone, 2-(2,3-dihydro-3-methylbenzothiazol-2-ylideno)-1-phenyl-",127536,"002783-70-2",64
48=, 48, 21.1829, 0.3585,"1-Octanol", 13937,"000111-87-5",90
49=, 49, 22.3542, 0.1685,"Benzonitrile",  4704,"000100-47-0",87
50=, 50, 23.6855, 0.6502,"Acetophenone",  9544,"000098-86-2",91
51=, 51, 23.8159, 2.6626,"Silanediol, dimethyl-",  2426,"001066-42-8",49
52=, 52, 24.0626, 0.0778,"Silanediol, dimethyl-",  2426,"001066-42-8",38
53=, 53, 27.0332, 4.5533,"Cyclooctane",  6751,"000292-64-8",90
54=, 54, 28.4584, 0.1566,"1,2-Bis(trimethylsilyl)benzene", 85160,"017151-09-6",43
55=, 55, 29.9192, 0.7441,"Benzyl alcohol",  5465,"000100-51-6",97
56=, 56, 30.0344, 0.0696,"Cyclotetrasiloxane, octamethyl-",155952,"000556-67-2",43
57=, 57, 30.8248, 0.0516,"Phenylethyl Alcohol", 10109,"000060-12-8",60
58=, 58, 31.1274, 0.1416,"Benzyl nitrile",  8742,"000140-29-4",93
59=, 59, 32.3790, 2.0750,"Cyclododecane", 38263,"000294-62-2",97
60=, 60, 33.1400, 0.2029,"Phenol",  2621,"000108-95-2",90
61=, 61, 34.9961, 0.2668,"Phenol, 3-methyl-",  5469,"000108-39-4",94
